quarter1,quarter1_number,quarter2,quarter2_num,quarter_elapsed_display,quarter_elapsed_sort
Q1 2016,20161,Q1 2016,20161,0,0
Q1 2016,20161,Q2 2016,20162,1,1
Q1 2016,20161,Q3 2016,20163,2,2
Q1 2016,20161,Q4 2016,20164,3,3
Q1 2016,20161,Q1 2017,20171,4,4
Q1 2016,20161,Q2 2017,20172,5,5
Q1 2016,20161,Q3 2017,20173,6,6
Q1 2016,20161,Q4 2017,20174,7,7
Q1 2016,20161,Q1 2018,20181,8,8
Q1 2016,20161,Q2 2018,20182,9,9
Q1 2016,20161,Q3 2018,20183,10,10
Q1 2016,20161,Q4 2018,20184,11,11
Q1 2016,20161,Q1 2019,20191,12,12
Q1 2016,20161,Q2 2019,20192,13,13
Q1 2016,20161,Q3 2019,20193,14,14
Q1 2016,20161,Q4 2019,20194,15,15
Q2 2016,20162,Q2 2016,20162,0,0
Q2 2016,20162,Q3 2016,20163,1,1
Q2 2016,20162,Q4 2016,20164,2,2
Q2 2016,20162,Q1 2017,20171,3,3
Q2 2016,20162,Q2 2017,20172,4,4
Q2 2016,20162,Q3 2017,20173,5,5
Q2 2016,20162,Q4 2017,20174,6,6
Q2 2016,20162,Q1 2018,20181,7,7
Q2 2016,20162,Q2 2018,20182,8,8
Q2 2016,20162,Q3 2018,20183,9,9
Q2 2016,20162,Q4 2018,20184,10,10
Q2 2016,20162,Q1 2019,20191,11,11
Q2 2016,20162,Q2 2019,20192,12,12
Q2 2016,20162,Q3 2019,20193,13,13
Q2 2016,20162,Q4 2019,20194,14,14
Q3 2016,20163,Q3 2016,20163,0,0
Q3 2016,20163,Q4 2016,20164,1,1
Q3 2016,20163,Q1 2017,20171,2,2
Q3 2016,20163,Q2 2017,20172,3,3
Q3 2016,20163,Q3 2017,20173,4,4
Q3 2016,20163,Q4 2017,20174,5,5
Q3 2016,20163,Q1 2018,20181,6,6
Q3 2016,20163,Q2 2018,20182,7,7
Q3 2016,20163,Q3 2018,20183,8,8
Q3 2016,20163,Q4 2018,20184,9,9
Q3 2016,20163,Q1 2019,20191,10,10
Q3 2016,20163,Q2 2019,20192,11,11
Q3 2016,20163,Q3 2019,20193,12,12
Q3 2016,20163,Q4 2019,20194,13,13
Q4 2016,20164,Q4 2016,20164,0,0
Q4 2016,20164,Q1 2017,20171,1,1
Q4 2016,20164,Q2 2017,20172,2,2
Q4 2016,20164,Q3 2017,20173,3,3
Q4 2016,20164,Q4 2017,20174,4,4
Q4 2016,20164,Q1 2018,20181,5,5
Q4 2016,20164,Q2 2018,20182,6,6
Q4 2016,20164,Q3 2018,20183,7,7
Q4 2016,20164,Q4 2018,20184,8,8
Q4 2016,20164,Q1 2019,20191,9,9
Q4 2016,20164,Q2 2019,20192,10,10
Q4 2016,20164,Q3 2019,20193,11,11
Q4 2016,20164,Q4 2019,20194,12,12
Q1 2017,20171,Q1 2017,20171,0,0
Q1 2017,20171,Q2 2017,20172,1,1
Q1 2017,20171,Q3 2017,20173,2,2
Q1 2017,20171,Q4 2017,20174,3,3
Q1 2017,20171,Q1 2018,20181,4,4
Q1 2017,20171,Q2 2018,20182,5,5
Q1 2017,20171,Q3 2018,20183,6,6
Q1 2017,20171,Q4 2018,20184,7,7
Q1 2017,20171,Q1 2019,20191,8,8
Q1 2017,20171,Q2 2019,20192,9,9
Q1 2017,20171,Q3 2019,20193,10,10
Q1 2017,20171,Q4 2019,20194,11,11
Q2 2017,20172,Q2 2017,20172,0,0
Q2 2017,20172,Q3 2017,20173,1,1
Q2 2017,20172,Q4 2017,20174,2,2
Q2 2017,20172,Q1 2018,20181,3,3
Q2 2017,20172,Q2 2018,20182,4,4
Q2 2017,20172,Q3 2018,20183,5,5
Q2 2017,20172,Q4 2018,20184,6,6
Q2 2017,20172,Q1 2019,20191,7,7
Q2 2017,20172,Q2 2019,20192,8,8
Q2 2017,20172,Q3 2019,20193,9,9
Q2 2017,20172,Q4 2019,20194,10,10
Q3 2017,20173,Q3 2017,20173,0,0
Q3 2017,20173,Q4 2017,20174,1,1
Q3 2017,20173,Q1 2018,20181,2,2
Q3 2017,20173,Q2 2018,20182,3,3
Q3 2017,20173,Q3 2018,20183,4,4
Q3 2017,20173,Q4 2018,20184,5,5
Q3 2017,20173,Q1 2019,20191,6,6
Q3 2017,20173,Q2 2019,20192,7,7
Q3 2017,20173,Q3 2019,20193,8,8
Q3 2017,20173,Q4 2019,20194,9,9
Q4 2017,20174,Q4 2017,20174,0,0
Q4 2017,20174,Q1 2018,20181,1,1
Q4 2017,20174,Q2 2018,20182,2,2
Q4 2017,20174,Q3 2018,20183,3,3
Q4 2017,20174,Q4 2018,20184,4,4
Q4 2017,20174,Q1 2019,20191,5,5
Q4 2017,20174,Q2 2019,20192,6,6
Q4 2017,20174,Q3 2019,20193,7,7
Q4 2017,20174,Q4 2019,20194,8,8
Q1 2018,20181,Q1 2018,20181,0,0
Q1 2018,20181,Q2 2018,20182,1,1
Q1 2018,20181,Q3 2018,20183,2,2
Q1 2018,20181,Q4 2018,20184,3,3
Q1 2018,20181,Q1 2019,20191,4,4
Q1 2018,20181,Q2 2019,20192,5,5
Q1 2018,20181,Q3 2019,20193,6,6
Q1 2018,20181,Q4 2019,20194,7,7
Q2 2018,20182,Q2 2018,20182,0,0
Q2 2018,20182,Q3 2018,20183,1,1
Q2 2018,20182,Q4 2018,20184,2,2
Q2 2018,20182,Q1 2019,20191,3,3
Q2 2018,20182,Q2 2019,20192,4,4
Q2 2018,20182,Q3 2019,20193,5,5
Q2 2018,20182,Q4 2019,20194,6,6
Q3 2018,20183,Q3 2018,20183,0,0
Q3 2018,20183,Q4 2018,20184,1,1
Q3 2018,20183,Q1 2019,20191,2,2
Q3 2018,20183,Q2 2019,20192,3,3
Q3 2018,20183,Q3 2019,20193,4,4
Q3 2018,20183,Q4 2019,20194,5,5
Q4 2018,20184,Q4 2018,20184,0,0
Q4 2018,20184,Q1 2019,20191,1,1
Q4 2018,20184,Q2 2019,20192,2,2
Q4 2018,20184,Q3 2019,20193,3,3
Q4 2018,20184,Q4 2019,20194,4,4
Q1 2019,20191,Q1 2019,20191,0,0
Q1 2019,20191,Q2 2019,20192,1,1
Q1 2019,20191,Q3 2019,20193,2,2
Q1 2019,20191,Q4 2019,20194,3,3
Q2 2019,20192,Q2 2019,20192,0,0
Q2 2019,20192,Q3 2019,20193,1,1
Q2 2019,20192,Q4 2019,20194,2,2
Q3 2019,20193,Q3 2019,20193,0,0
Q3 2019,20193,Q4 2019,20194,1,1
Q4 2019,20194,Q4 2019,20194,0,0
Q1 2016,20161,,,New Customers,-1
Q2 2016,20162,,,New Customers,-1
Q3 2016,20163,,,New Customers,-1
Q4 2016,20164,,,New Customers,-1
Q1 2017,20171,,,New Customers,-1
Q2 2017,20172,,,New Customers,-1
Q3 2017,20173,,,New Customers,-1
Q4 2017,20174,,,New Customers,-1
Q1 2018,20181,,,New Customers,-1
Q2 2018,20182,,,New Customers,-1
Q3 2018,20183,,,New Customers,-1
Q4 2018,20184,,,New Customers,-1
Q1 2019,20191,,,New Customers,-1
Q2 2019,20192,,,New Customers,-1
Q3 2019,20193,,,New Customers,-1
Q4 2019,20194,,,New Customers,-1
